URL,category_code,category_description,date_added,source,notes
kavkaz.tv,MILX,Terrorism and Militants,2014-04-15,citizenlab,
kavkazcenter.info,MILX,Terrorism and Militants,2014-04-15,citizenlab,
kavkaznews.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,
kazache.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
keeper.webmoney.ru,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
keeper.wmtransfer.com,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
kianews24.ru,NEWS,News Media,2018-03-15,ksenia,Crimean pro-Russian website from new ministry of information blocklist proposal
kolebcev.v-teme.com,MISC,Miscelaneous content,2014-04-15,citizenlab,
komtv.org,NEWS,News Media,2018-03-15,ksenia,Crimean pro-Russian website from new ministry of information blocklist proposal
konoplya.2anekdots.ru,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
konstantinovka.dn.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
konstantinovka.dn.ua,NEWS,News Media,2017-09-28,igorv,Blocked in Eastern Ukraine
korrespondent.net,NEWS,News Media,2014-04-15,citizenlab,
krauzes.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
krown-products.net,COMM,E-commerce,2014-04-15,citizenlab,
kurush1.livejournal.com,NEWS,News Media,2014-04-15,citizenlab,
lb.ua,NEWS,News Media,2014-04-15,citizenlab,
legalitolko.biz,MISC,Miscelaneous content,2014-04-15,citizenlab,
legalrc.biz,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
leontiev.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
leteha.livejournal.com,GOVT,Government,2014-04-15,citizenlab,
lgbt-grani.livejournal.com,NEWS,News Media,2014-04-15,citizenlab,
lgbtnet.ru,LGBT,LGBT,2014-04-15,citizenlab,
liability-insurance-company.com,COMM,E-commerce,2014-04-15,citizenlab,
lib.rus.ec,CULTR,Culture,2014-04-15,citizenlab,
life.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
liga.net,NEWS,News Media,2014-04-15,citizenlab,
ligazn.ru,PUBH,Public Health,2014-04-15,citizenlab,
light.webmoney.ru,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
light.wmtransfer.com,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
limonka.nbp-info.com?,POLR,Political Criticism,2014-04-15,citizenlab,
limonova.v-teme.com,COMM,E-commerce,2014-04-15,citizenlab,
lingvoman.vinidiktov.ru,COMT,Communication Tools,2014-04-15,citizenlab,
links.i.ua,NEWS,News Media,2014-04-15,citizenlab,
liveinternet.ru,NEWS,News Media,2014-04-15,citizenlab,
livejournal.com,NEWS,News Media,2014-04-15,citizenlab,
livemy.info,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
lnr.media,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
lnr.today,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
login.wmtransfer.com,COMM,E-commerce,2018-05-28,ksenia,Order of the President of Ukraine 126
looo.ch,CULTR,Culture,2014-04-15,citizenlab,
love.mail.ru,DATE,Online Dating,2014-04-15,citizenlab,
love.mygorod.ru,DATE,Online Dating,2014-04-15,citizenlab,
love.qsound.ru,DATE,Online Dating,2014-04-15,citizenlab,
loveplanet.ru,DATE,Online Dating,2014-04-15,citizenlab,
lt-lnr.su,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
lubov-kontakt.ru,DATE,Online Dating,2014-04-15,citizenlab,
lug-info.com,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
lug24.ru,NEWS,News Media,2017-12-12,OONI,Included in blocklist: inau.uasitesdefaultfilesfile1711vhidnyy_no_243_vid_28.11.2017.pdf
lug24.ru,NEWS,News Media,2018-05-28,ksenia,Order of the President of Ukraine 126
